parent,name,value
Animation by country,Algerian animation,10
Algerian animation,Algeria History and Civilization,222
Animation by country,Argentine animation,10
Argentine animation,Argentine animated television series,10
Argentine animated television series,The Adventures of Hijitus,223
Argentine animated television series,Alejo & Valentina,544
Argentine animated television series,City Hunters,344
Argentine animated television series,Cybersix (TV series),3049
Argentine animated television series,Plim Plim,425
Animation by country,Armenian animation,10
Animation by country,Australian animation,10
Animation by country,Austrian animation,10
Animation by country,Azerbaijani animation,351
Animation by country,Bangladeshi animation,584
Animation by country,Belgian animation,10
Animation by country,Bhutanese animation,342
Animation by country,Bosnia and Herzegovina animation,10
Animation by country,Brazilian animation,10
Animation by country,Burmese animation,10
Animation by country,Canadian animation,95
Animation by country,Chilean animation,10
Animation by country,Chinese animation,4214
Animation by country,Colombian animation,10
Animation by country,Croatian animation,10
Animation by country,Cuban animation,10
Animation by country,Czech animation,766
Animation by country,Danish animation,10
Animation by country,Dutch animation,10
Animation by country,Egyptian animation,10
Animation by country,Estonian animation,434
Animation by country,Finnish animation,10
Animation by country,French animation,86
Animation by country,Georgian animation,10
Animation by country,German animation,10
Animation by country,Greek animation,10
Animation by country,Hong Kong animation,10
Animation by country,Hungarian animation,25
Animation by country,Icelandic animation,10
Animation by country,Indian animation,30
Animation by country,Indonesian animation,10
Animation by country,Iranian animation,22
Animation by country,Irish animation,10
Animation by country,Israeli animation,10
Animation by country,Italian animation,10
Animation by country,Anime,146229
Animation by country,Jordanian animation,10
Animation by country,Kenyan animation,10
Animation by country,Latvian animation,10
Animation by country,Lebanese animation,10
Animation by country,Lithuanian animation,10
Animation by country,Luxembourgian animation,10
Animation by country,Macedonian animation,10
Animation by country,Malaysian animation,1167
Animation by country,Mexican animation,10
Animation by country,Montenegrin animation,10
Animation by country,Moroccan animation,10
Animation by country,New Zealand animation,10
Animation by country,North Korean animation,5383
Animation by country,Norwegian animation,10
Animation by country,Pakistani animation,10
Animation by country,Palestinian animation,10
Animation by country,Peruvian animation,10
Animation by country,Philippine animation,13
Animation by country,Polish animation,10
Animation by country,Portuguese animation,348
Animation by country,Romanian animation,476
Animation by country,Russian animation,465
Animation by country,Scottish animation,10
Animation by country,Singaporean animation,10
Animation by country,Slovenian animation,10
Animation by country,South African animation,10
Animation by country,South Korean animation,5383
Animation by country,Soviet animation,55
Animation by country,Spanish animation,676
Animation by country,Swedish animation,10
Animation by country,Swiss animation,10
Animation by country,Syrian animation,10
Animation by country,Taiwanese animation,1104
Animation by country,Thai animation,817
Animation by country,Trinidad and Tobago animation,10
Animation by country,Turkish animation,10
Animation by country,Ukrainian animation,10
Animation by country,Emirati animation,10
Animation by country,British animation,37
Animation by country,American animation,58
Animation by country,Uruguayan animation,10
Animation by country,Venezuelan animation,10
Animation by country,Vietnamese animation,526
Animation by country,Yugoslav animation,10
Animation by country,Zimbabwean animation,10
null,Animation by country,10
Armenian animation,The Lesson (1987 film),184
Armenian animators,Robert Sahakyants,192
Australian animation,Plastic Wax,311
Australian animation,Australian animators,10
Australian animation,Australian animated films,10
Australian animation,Australian animation studios,10
Australian animation,Australian animated television series,10
Australian animators,Drew Berry,366
Australian animators,Ron Campbell (animator),767
Australian animators,Chris Cuddington,123
Australian animators,Bernard Derriman,201
Australian animators,Adam Elliot,2053
Australian animators,Jack Feldstein,179
Australian animators,Mark Gravas,181
Australian animators,Nick Hilligoss,114
Australian animators,Mike Hollands,180
Australian animators,Anne Jolliffe,80
Australian animators,Malcolm McGookin,94
Australian animators,Gus McLaren,131
Australian animators,Ross O'Donovan,4267
Australian animators,Bruce Petty,434
Australian animators,Adam Phillips (animator),594
Australian animators,Geoffry Morgan Pike,276
Australian animators,Paul Robertson (animator),1310
Australian animators,Richard Slapczynski,126
Australian animators,Pat Sullivan (film producer),1626
Australian animators,John C. J. Taylor,127
Australian animators,Sarah Watt,1183
Australian animated films,$9.99 ,2279
Australian animated films,The 20 Cent Quest,204
Australian animated films,20 000 Leagues Under the Sea (1985 film),843
Australian animated films,Abra Cadabra (1983 film),431
Australian animated films,Alice in Wonderland (1988 film),777
Australian animated films,Around the World in 80 Days (1988 film),763
Australian animated films,Around the World with Dot,402
Australian animated films,Blinky Bill: The Mischievous Koala,962
Australian animated films,Blinky Bill the Movie,2813
Australian animated films,The Camel Boy,245
Australian animated films,A Christmas Carol (1982 film),482
Australian animated films,Dot and Keeto,347
Australian animated films,Dot and the Bunny,374
Australian animated films,Dot and the Kangaroo (film),1772
Australian animated films,Dot and the Koala,298
Australian animated films,Dot and the Smugglers,357
Australian animated films,Dot and the Whale,424
Australian animated films,Dot Goes to Hollywood,340
Australian animated films,Dot in Space,454
Australian animated films,Epic (1984 film),568
Australian animated films,Go to Hell!!,323
Australian animated films,Grendel Grendel Grendel,1332
Australian animated films,Gumnutz: A Juicy Tale,733
Australian animated films,Gus (2011 film),176
Australian animated films,Happy Feet,36433
Australian animated films,Happy Feet Two,36433
Australian animated films,Harvie Krumpet,1910
Australian animated films,The Hunchback of Notre Dame (1986 film),1373
Australian animated films,The Little Convict,489
Australian animated films,Mad Scientist (film),154
Australian animated films,The Magic Pudding (film),1271
Australian animated films,The Man in the Iron Mask (1985 film),228
Australian animated films,Marco Polo Junior Versus the Red Dragon,340
Australian animated films,Mary and Max,10243
Australian animated films,Maya the Bee (2014 film),2020
Australian animated films,Maya the Bee: The Honey Games,6409
Australian animated films,Oliver Twist (1982 Australian film),863
Australian animated films,Peter Pan (1988 film),1192
Australian animated films,Peter Rabbit (film),167872
Australian animated films,Sarah (film),448
Australian animated films,The Three Musketeers (1986 film),572
Australian animated films,Walking with Dinosaurs (film),8525
Australian animated films,Wind in the Willows (1988 film),1099
Australian animated films,Australian animated speculative fiction films,10
Australian animated films,Australian animated short films,10
Australian animated speculative fiction films,The Mysterious Geographic Explorations of Jasper Morello,927
Australian animated speculative fiction films,Australian animated fantasy films,10
Australian animated fantasy films,FernGully: The Last Rainforest,17428
Australian animated fantasy films,The Jungle Book 2,11034
Australian animated fantasy films,Legend of the Guardians: The Owls of Ga'Hoole,21329
Australian animated fantasy films,The Magic Riddle,1070
Australian animated fantasy films,Peter Rabbit (film),167872
Australian animated short films,Birthday Boy (film),507
Australian animated short films,The Cat Piano,638
Australian animated short films,Crawlspace (2004 film),136
Australian animated short films,Leisure (film),224
Australian animated short films,Lost Property Office (2017 film),45
Australian animated short films,Silent Night  Holy Night (1976 film),237
Australian animation studios,SLR Productions,331
Australian animation studios,Act3animation,456
Australian animation studios,Animal Logic,4046
Australian animation studios,Burbank Animation Studios,805
Australian animation studios,Endemol Australia,2090
Australian animation studios,Flying Bark Productions,989
Australian animation studios,Honeydew Studios,172
Australian animation studios,Marza Animation Planet,3197
Australian animation studios,Mr. Big Cartoons,145
Australian animation studios,The People's Republic of Animation,293
Australian animation studios,Plastic Wax,311
Australian animation studios,RobotDNA,120
Australian animated television series,Australian children's animated television series,10
Australian animated television series,Lists of Australian animated television series episodes,10
Australian animated television series,20th-century Australian animated television series,10
Australian animated television series,21st-century Australian animated television series,10
Australian animated television series,1990s Australian animated television series,10
Australian animated television series,2000s Australian animated television series,10
Australian animated television series,2010s Australian animated television series,10
Australian animated television series,Australian computer-animated television series,10
Australian animated television series,Australian flash animated television series,10
Australian children's animated television series,The Adventures of Blinky Bill,2209
Australian children's animated television series,The Adventures of Sam,541
Australian children's animated television series,Alice-Miranda (TV series),406
Australian children's animated television series,Animalia (TV series),2909
Australian children's animated television series,Arthur! and the Square Knights of the Round Table,749
Australian children's animated television series,Awesome Magical Tales,604
Australian children's animated television series,Bananas in Pyjamas,11814
Australian children's animated television series,The Beach Crew,168
Australian children's animated television series,Beached Az,1044
Australian children's animated television series,Beat Bugs,13742
Australian children's animated television series,Bluey (animated TV series),320
Australian children's animated television series,Bobtales,234
Australian children's animated television series,Bottersnikes and Gumbles,1125
Australian children's animated television series,Bottersnikes and Gumbles (TV series),1125
Australian children's animated television series,CJ the DJ,602
Australian children's animated television series,Crocadoo,316
Australian children's animated television series,The Day My Butt Went Psycho!,2322
Australian children's animated television series,Deadly (Australian TV series),179
Australian children's animated television series,The Deep (2015 TV series),8723
Australian children's animated television series,Dennis the Menace and Gnasher (2009 TV series),1722
Australian children's animated television series,Dex Hamilton: Alien Entomologist,690
Australian children's animated television series,Dinky Di's,263
Australian children's animated television series,Dirtgirlworld,2207
Australian children's animated television series,Dogstar (TV series),720
Australian children's animated television series,The Dukes of Broxstonia,278
Australian children's animated television series,Dumb Bunnies,3424
Australian children's animated television series,Erky Perky,1287
Australian children's animated television series,Fairy Tale Police Department,687
Australian children's animated television series,Farmkids,309
Australian children's animated television series,The Flamin' Thongs,332
Australian children's animated television series,Flipper and Lopaka,1247
Australian children's animated television series,The Flying Dogtor,157
Australian children's animated television series,G2G (TV series),508
Australian children's animated television series,Get Ace,755
Australian children's animated television series,H2O: Mermaid Adventures,5775
Australian children's animated television series,I Got a Rocket,395
Australian children's animated television series,Jellabies,710
Australian children's animated television series,Kangaroo Creek Gang,307
Australian children's animated television series,Ketchup: Cats Who Cook,237
Australian children's animated television series,Kitty Is Not a Cat,924
Australian children's animated television series,Kitu and Woofl,245
Australian children's animated television series,Kuu Kuu Harajuku,5947
Australian children's animated television series,Li'l Elvis and the Truckstoppers,630
Australian children's animated television series,Little J & Big Cuz,483
Australian children's animated television series,Master Raindrop,617
Australian children's animated television series,The New Adventures of Figaro Pho,1544
Australian children's animated television series,The New Adventures of Ocean Girl,909
Australian children's animated television series,Old Tom (TV series),450
Australian children's animated television series,Pearlie,1388
Australian children's animated television series,Petals (TV series),295
Australian children's animated television series,Pirate Express,706
Australian children's animated television series,Pixel Pinkie,598
Australian children's animated television series,Plasmo,1010
Australian children's animated television series,Prisoner Zero (TV series),1186
Australian children's animated television series,Sally Bollywood: Super Detective,1380
Australian children's animated television series,Sea Princesses,802
Australian children's animated television series,The Shapies,381
Australian children's animated television series,SheZow,2619
Australian children's animated television series,The Silver Brumby,1344
Australian children's animated television series,Skippy der Buschpilot,113
Australian children's animated television series,Skippy: Adventures in Bushtown,646
Australian children's animated television series,Staines Down Drains,388
Australian children's animated television series,Sydney Sailboat,359
Australian children's animated television series,Tabaluga (TV series),1770
Australian children's animated television series,Tashi (TV series),150
Australian children's animated television series,The Skinner Boys: Guardians of the Lost Secrets,706
Australian children's animated television series,Time Cracks,188
Australian children's animated television series,The Toothbrush Family,533
Australian children's animated television series,Tracey McBean,1329
Australian children's animated television series,Treasure (animated TV series),251
Australian children's animated television series,Vic the Viking,661
Australian children's animated television series,The Wild Adventures of Blinky Bill,1572
Australian children's animated television series,Winston Steinburger and Sir Dudley Ding Dong,1494
Australian children's animated television series,Yakkity Yak,2388
Australian children's animated television series,Zeke's Pad,749
Australian children's animated television series,Zigby,1197
Lists of Australian animated television series episodes,List of The Berenstain Bears (1985 TV series) episodes,915
Lists of Australian animated television series episodes,List of Blinky Bill episodes,648
Lists of Australian animated television series episodes,List of The Dukes of Broxstonia episodes,278
Lists of Australian animated television series episodes,List of Johnson and Friends episodes,243
Lists of Australian animated television series episodes,List of Kuu Kuu Harajuku episodes,5947
Lists of Australian animated television series episodes,List of Round the Twist episodes,1308
1990s Australian animated television series,The Adventures of Blinky Bill,2209
1990s Australian animated television series,The Adventures of Sam,541
1990s Australian animated television series,Bobtales,234
1990s Australian animated television series,Crocadoo,316
1990s Australian animated television series,Dinky Di's,263
1990s Australian animated television series,Dumb Bunnies,3424
1990s Australian animated television series,Flipper and Lopaka,1247
1990s Australian animated television series,Jellabies,710
1990s Australian animated television series,Ketchup: Cats Who Cook,237
1990s Australian animated television series,Kitu and Woofl,245
1990s Australian animated television series,Li'l Elvis and the Truckstoppers,630
1990s Australian animated television series,Petals (TV series),295
1990s Australian animated television series,Plasmo,1010
1990s Australian animated television series,The Silver Brumby,1344
1990s Australian animated television series,Skippy der Buschpilot,113
1990s Australian animated television series,Skippy: Adventures in Bushtown,646
1990s Australian animated television series,Tabaluga (TV series),1770
1990s Australian animated television series,The Toothbrush Family,533
2000s Australian animated television series,The Adventures of Blinky Bill,2209
2000s Australian animated television series,Animalia (TV series),2909
2000s Australian animated television series,Beached Az,1044
2000s Australian animated television series,CJ the DJ,602
2000s Australian animated television series,Deadly (Australian TV series),179
2000s Australian animated television series,Dennis the Menace and Gnasher (2009 TV series),1722
2000s Australian animated television series,Dex Hamilton: Alien Entomologist,690
2000s Australian animated television series,Dirtgirlworld,2207
2000s Australian animated television series,Dogstar (TV series),720
2000s Australian animated television series,Erky Perky,1287
2000s Australian animated television series,Fairy Tale Police Department,687
2000s Australian animated television series,Farmkids,309
2000s Australian animated television series,Flipper and Lopaka,1247
2000s Australian animated television series,G2G (TV series),508
2000s Australian animated television series,I Got a Rocket,395
2000s Australian animated television series,Jellabies,710
2000s Australian animated television series,John Callahan's Quads!,4670
2000s Australian animated television series,Kangaroo Creek Gang,307
2000s Australian animated television series,Master Raindrop,617
2000s Australian animated television series,The New Adventures of Ocean Girl,909
2000s Australian animated television series,Pearlie,1388
2000s Australian animated television series,Sea Princesses,802
2000s Australian animated television series,The Shapies,381
2000s Australian animated television series,Staines Down Drains,388
2000s Australian animated television series,Tabaluga (TV series),1770
2000s Australian animated television series,Time Cracks,188
2000s Australian animated television series,Tracey McBean,1329
2000s Australian animated television series,Yakkity Yak,2388
2000s Australian animated television series,Zeke's Pad,749
2000s Australian animated television series,Zigby,1197
2010s Australian animated television series,Alice-Miranda (TV series),406
2010s Australian animated television series,Awesome Magical Tales,604
2010s Australian animated television series,Bananas in Pyjamas,11814
2010s Australian animated television series,The Beach Crew,168
2010s Australian animated television series,Beached Az,1044
2010s Australian animated television series,Beat Bugs,13742
2010s Australian animated television series,Bottersnikes and Gumbles,1125
2010s Australian animated television series,Bottersnikes and Gumbles (TV series),1125
2010s Australian animated television series,CJ the DJ,602
2010s Australian animated television series,The Day My Butt Went Psycho!,2322
2010s Australian animated television series,The Deep (2015 TV series),8723
2010s Australian animated television series,Dennis the Menace and Gnasher (2009 TV series),1722
2010s Australian animated television series,Dirtgirlworld,2207
2010s Australian animated television series,The Dukes of Broxstonia,278
2010s Australian animated television series,The Flamin' Thongs,332
2010s Australian animated television series,Get Ace,755
2010s Australian animated television series,H2O: Mermaid Adventures,5775
2010s Australian animated television series,Kitty Is Not a Cat,924
2010s Australian animated television series,Kuu Kuu Harajuku,5947
2010s Australian animated television series,Little J & Big Cuz,483
2010s Australian animated television series,The New Adventures of Figaro Pho,1544
2010s Australian animated television series,Pacific Heat,7565
2010s Australian animated television series,Pearlie,1388
2010s Australian animated television series,Pirate Express,706
2010s Australian animated television series,Prisoner Zero (TV series),1186
2010s Australian animated television series,Sally Bollywood: Super Detective,1380
2010s Australian animated television series,Sea Princesses,802
2010s Australian animated television series,SheZow,2619
2010s Australian animated television series,Sydney Sailboat,359
2010s Australian animated television series,Tashi (TV series),150
2010s Australian animated television series,The Skinner Boys: Guardians of the Lost Secrets,706
2010s Australian animated television series,Vic the Viking,661
2010s Australian animated television series,The Wild Adventures of Blinky Bill,1572
2010s Australian animated television series,Winston Steinburger and Sir Dudley Ding Dong,1494
2010s Australian animated television series,Zigby,1197
Australian computer-animated television series,Animalia (TV series),2909
Australian computer-animated television series,Bananas in Pyjamas,11814
Australian computer-animated television series,Beat Bugs,13742
Australian computer-animated television series,The Deep (2015 TV series),8723
Australian computer-animated television series,Dirtgirlworld,2207
Australian computer-animated television series,Erky Perky,1287
Australian computer-animated television series,Farmkids,309
Australian computer-animated television series,The Flamin' Thongs,332
Australian computer-animated television series,Sydney Sailboat,359
Australian computer-animated television series,Vic the Viking,661
Australian flash animated television series,CJ the DJ,602
Australian flash animated television series,The Day My Butt Went Psycho!,2322
Australian flash animated television series,Deadly (Australian TV series),179
Australian flash animated television series,Dogstar (TV series),720
Australian flash animated television series,The Dukes of Broxstonia,278
Australian flash animated television series,G2G (TV series),508
Australian flash animated television series,Get Ace,755
Australian flash animated television series,H2O: Mermaid Adventures,5775
Australian flash animated television series,I Got a Rocket,395
Australian flash animated television series,John Callahan's Quads!,4670
Australian flash animated television series,Kuu Kuu Harajuku,5947
Australian flash animated television series,Pirate Express,706
Australian flash animated television series,Pixel Pinkie,598
Australian flash animated television series,Sally Bollywood: Super Detective,1380
Australian flash animated television series,Sea Princesses,802
Australian flash animated television series,SheZow,2619
Australian flash animated television series,Staines Down Drains,388
Australian flash animated television series,Tracey McBean,1329
Australian flash animated television series,Yakkity Yak,2388
Austrian animation,Austrian animated films,10
Austrian animated films,Tehran Taboo,2566
Austrian animated films,Austrian animated short films,10
Austrian animated short films,Fast Film (film),195
Azerbaijani animation,Azerbaijani animation studios,351
Azerbaijani animation,Azerbaijani animated films,10
Azerbaijani animation studios,Azerbaijanfilm,279
Azerbaijani animation studios,Azerbaijanfilm,279
Azerbaijanfilm,Azerbaijanfilm,279
Azerbaijanfilm,Legend of the Maiden Tower,91
Azerbaijanfilm,Pispisa khanum and Mouse bey,89
Azerbaijanfilm,The Stone (1977 film),95
Azerbaijani animated films,Legend of the Maiden Tower,91
Azerbaijani animated films,Pispisa khanum and Mouse bey,89
Azerbaijani animated films,The Stone (1977 film),95
Bangladeshi animation,International Animation and Cartoon Festival,92
Bangladeshi animation,Bangladeshi animated television series,10
Bangladeshi animation,Bangladeshi animation studios,584
Bangladeshi animation,Bangladeshi animated films,10
Bangladeshi animated television series,The Adventures of Montu Miah,195
Bangladeshi animated television series,Meena (character),2173
Bangladeshi animation studios,ToonBangla,168
Bangladeshi animated films,Bangladeshi animated fantasy films,10
