1,Summer Days,3817
2,Terrance & Philip,15
3,Anime and manga fandom,146229
4,Milhouse Van Houten,8148
5,List of titles by Pink Pineapple,2894
6,South Park (season 18),155515
7,Saber (Fate/stay night),10
8,The Lost Crown of Genghis Khan,11
9,Doki Doki School Hours,1236
10,Farewell to Space Battleship Yamato,19492
11,Independence Day (Young Justice),600
12,Long Riders!,1028
13,DIC Entertainment,12625
14,Chap Stewie,2149
15,Kochadaiiyaan,12796
16,Gen¬_¬_ (film)Paramount Pictures animated films,Gulliver's Travels (1939 film),4034
17,Empty Socks,442
18,Template Samurai Jack,45218
19,Bosnia and Herzegovina animation,10
20,Saint Seiya Sanctuary Battle,37325
21,Belvision Studios,379
22,Mario (film),286
23,Alice in Wonderland (1951 film),30126
24,Hybrid _ó Heart Magias Academy Ataraxia2016 anime television series,Idol Memories,577
25,The Good Soldier Schweik (1955 film),196
26,Sylvain Chomet,3567
27,Lockjaw (comics),11334
28,List of Jakers! The Adventures of Piggley Winks episodes,4783
29,Warrior of Love Rainbowman,576
30,Mansudae Art Studio,3032
31,The Pink Panther in Pink at First Sight,517
32,Mr. & Mrs. Brown,30
33,Tom Everhart,395
34,ReBoot The Guardian Code,21707
35,George Kaczender,262
36,G.I. Joe The Rise of Cobra (video game),44389
37,Devilman Crybaby,584024
38,Book Family Guy,224285
39,Mummies Alive!,5085
40,Edison and Leo,346
41,The Old Mill Pond,1984
42,Hell Teacher N_´bƒì1996 anime OVAs,Hikarian,936
43,Riding the Rails,203
44,Solid Ivory,924
45,South Park (franchise),155515
46,Cat Orgy,1234
47,Happily Ever After (1990 film),3902
48,Bill Nolan (animator),612
49,Hamm (Toy Story),99799
50,John Lasseter,50893
51,Daniel R. Anderson,154
52,Lee Mendelson Films,723
53,Calculon,230
54,Red-Haired Pirates,10
55,Family Classic Tales,160
56,Adventure Time (season 9),165172
57,List of Franklin episodes,2093
58,Lieutenant Green,419
59,Hubie and Bertie,1745
60,A Car-Tune Portrait,238
61,Mr. Neighbor's House,486
62,The Sandman (1991 film),1295
63,Bladedance of Elementalers,11929
64,Anders Morgenthaler,1662
65,Eureka! (TV series),784
66,Video Girl Ai,6536
67,Alvin and the Chipmunks Meet the Wolfman,1594
68,David Silverman (animator),3828
69,Sesame Street Magazine,71517
70,City of Friends,327
71,Legend of a Rabbit,1454
72,Doraemon Nobita's Space Heroes,1943
73,Halloween on Spooner Street,1282
74,Welcome to the N.H.K.,13129
75,Groundskeeper Willie,4993
76,Philbert Frog,221
77,Kathaa Animations,146
78,Astro Boy Mighty Atom - Visitor of 100 000 Light Years IGZA,10
79,Pada Zaman Dahulu,107
